Modelo,CV_Accuracy_mean,CV_Accuracy_std,CV_Precision_mean,CV_Precision_std,CV_Recall_mean,CV_Recall_std,CV_F1_mean,CV_F1_std,CV_ROC_AUC_mean,CV_ROC_AUC_std,Accuracy,Precision,Recall,F1,ROC_AUC,Tiempo_s
LogisticRegression,0.7915891413485172,0.007212840339313414,0.7931492173853667,0.00823056755115192,0.7890171455326678,0.010018642524356988,0.7910407293729602,0.007427398175791277,0.8690409860733282,0.006576934337771618,0.7809083263246426,0.547923322683706,0.7609539656128674,0.6371023914557696,0.8475130498544862,6.293933868408203
RandomForest,0.8584864607857968,0.006291653770501266,0.8302976771295253,0.007806831616580906,0.901263150814982,0.007707477467672906,0.8642960172430942,0.0058761249030212905,0.9329586444108097,0.003515719201475312,0.7887580599943931,0.5630323679727428,0.733222407099279,0.6369549506143098,0.8600294450785614,8.539563655853271
GradientBoosting+Voting,0.8674516650570103,0.006121955097439972,0.8567447561915993,0.0073144832267906185,0.88252787959842,0.008305159394791059,0.8694169132728276,0.006051680896696224,0.9462305918239275,0.002824621911029676,0.8015138772077376,0.5926280516993777,0.6866333887964503,0.6361767728674204,0.8631914981939374,28.794713735580444
Stacking,0.8625871735597453,0.006371670422411418,0.8364489658789929,0.007263328038602031,0.9015041790295752,0.008074029562138724,0.8677342280734077,0.006092438719107604,0.9408508832555953,0.003020862882066603,0.7910008410428931,0.5680034873583261,0.7226844148641154,0.6360751769587503,0.8594009463166759,892.0308315753937
SVM,0.8168362462295902,0.006166047342432781,0.7922862468380261,0.00784386451812652,0.858969974623163,0.007176814253556335,0.8242493632420335,0.005561135269349933,0.8906282962112879,0.0060643409608620745,0.7691337258200168,0.5293453724604966,0.7803660565723793,0.6308002689979825,0.8387738895334095,441.89712285995483
NaiveBayes,0.7527134992636955,0.005936509027396448,0.7977055925900794,0.009071230293844818,0.6773333885191153,0.012029774105904186,0.7325144272130516,0.007420835953682378,0.8483692458175414,0.006908226837036323,0.7884777123633305,0.5684995340167754,0.6766500277315585,0.6178779437832362,0.8406126723702851,0.31600260734558105
XGBoost,0.875773588576999,0.005117993056151485,0.8841260889568995,0.007257257184036038,0.8650009183259048,0.009700391661018161,0.8744075247067983,0.005417451975510718,0.9536926002225193,0.0022768654482059167,0.8059994393047378,0.6178953292065279,0.6089850249584027,0.6134078212290502,0.8629961132121758,4.9950339794158936
KNN,0.8286558108595564,0.005621017698897691,0.7860741824319692,0.006842796759749546,0.903191958569274,0.00608701105083895,0.8405496860893262,0.004889438325314471,0.8958027997386683,0.003570786765999013,0.7527333894028595,0.5073006364657432,0.7515252357182474,0.6057219490388914,0.8107351042620249,3.6360981464385986
